DIV,WD,County,State,Station Name,DWR Abbrev,USGS Station ID,Data Source,Status,POR Start,POR End,UTM X,UTM Y,Location Accuracy,More Information,Location
2,10,EL PASO,CO,"SAND CREEK ABOVE MOUTH AT COLORADO SPRINGS, CO",SANCOLCO,07105600,USGS,Active,2003,2023,519639.9,4293311.8,User supplied,https://dwr.state.co.us/Tools/Stations/SANCOLCO,"(38.788336, -104.773871)"
1,2,WELD,CO,LUPTON BOTTOM DITCH EAST AUG RET,LPBEASCO,,NCSDR,Active,2008,2023,514317,4443278,User supplied,https://dwr.state.co.us/Tools/Stations/LPBEASCO,"(40.139722, -104.831942)"
1,8,ARAPAHOE,CO,"LITTLE DRY CREEK ABOVE ENGLEWOOD, CO",,06711555,USGS,Historic,2013,2022,501812.7,4388818.1,User supplied,https://dwr.state.co.us/Tools/Stations/5965,"(39.649159, -104.978878)"
1,9,,CO,BEERS SISTER RESERVOIR OUTLET,BEROUTCO,,DWR,Active,2018,2023,489542.9,4385108.9,GPS,https://dwr.state.co.us/Tools/Stations/BEROUTCO,"(39.615678, -105.121835)"
1,7,CLEAR CREEK,CO,"FALL RIVER NEAR IDAHO SPRINGS, CO.",FALIDACO,06717000,DWR,Active,1930,2022,452325.4,4400757.5,User supplied,https://dwr.state.co.us/Tools/Stations/FALIDACO,"(39.755409, -105.556547)"
3,25,SAGUACHE,CO,WILLOW CREEK NEAR CRESTONE,WILCRECO,,DWR,Active,1999,2023,440578.7,4202428.5,User supplied,https://dwr.state.co.us/Tools/Stations/WILCRECO,"(37.967534, -105.676505)"
1,48,LARIMER,CO,LARAMIE POUDRE TUNNEL @ 10 FT PARSHALL FLUME,LAPTUNCO,06747000,DWR,Active,1931,2023,427959.4,4503179,User supplied,https://dwr.state.co.us/Tools/Stations/LAPTUNCO,"(40.676355, -105.852445)"
4,40,DELTA,CO,"YOUNGS CREEK NEAR CEDAREDGE, CO.",,09141500,USGS,Historic,1942,1946,244463.8,4312336.7,User supplied,https://dwr.state.co.us/Tools/Stations/823,"(38.922767, -107.947575)"
1,64,LOGAN,CO,LEWIS CREEK DIVERSION,LEWDITCO,,LPWCD,Active,2007,2023,667242,4517489,GPS,https://dwr.state.co.us/Tools/Stations/LEWDITCO,"(40.791385, -103.017733)"
5,51,,CO,"VASQUEZ DIVERSION 3 NR WINTER PARK, CO",,09031600,USGS,Historic,2021,2023,429899.2,4413217.2,User supplied,https://dwr.state.co.us/Tools/Stations/9754,"(39.866106, -105.819647)"
7,30,LA PLATA,CO,FLORIDA CANAL,FLOCANCO,,DWR,Active,1994,2023,254273.5,4133143.3,User supplied,https://dwr.state.co.us/Tools/Stations/FLOCANCO,"(37.312481, -107.772819)"
7,31,LA PLATA,CO,"LOS PINOS RIVER AT LA BOCA, CO.",LOSLABCO,09354500,USGS,Active,1951,2023,268713.2,4099079.9,GPS,https://dwr.state.co.us/Tools/Stations/LOSLABCO,"(37.009454, -107.599514)"
2,11,EAGLE,CO,"EWING DITCH AT TENNESSEE PASS, CO.",EWIDITCO,09062000,DWR,Active,1947,2023,387465,4357652,Digitized off map,https://dwr.state.co.us/Tools/Stations/EWIDITCO,"(39.361006, -106.306256)"
5,38,PITKIN,CO,"CHAPMAN GULCH FEEDER CANAL NEAR NORRIE, CO.",CHAGFOCO,09077940,USGS,Historic,1971,1983,359363.5,4345383.3,User supplied,https://dwr.state.co.us/Tools/Stations/CHAGFOCO,"(39.246379, -106.62976)"
5,38,PITKIN,CO,"NORTH THOMPSON CREEK NEAR CARBONDALE, CO.",NOTHOMCO,09082800,USGS,Historic,1963,1979,298878,4355961.7,User supplied,https://dwr.state.co.us/Tools/Stations/NOTHOMCO,"(39.329714, -107.333397)"
6,57,ROUTT,CO,"GRASSY CREEK NEAR MOUNT HARRIS, CO.",GRASMOCO,09244300,USGS,Historic,1958,1966,318044,4479573.6,User supplied,https://dwr.state.co.us/Tools/Stations/GRASMOCO,"(40.446929, -107.145623)"
6,44,ROUTT,CO,"ELKHEAD CREEK NEAR ELKHEAD, CO.",ELKHENCO,09245000,USGS,Historic,1953,1996,306859,4504601.6,User supplied,https://dwr.state.co.us/Tools/Stations/ELKHENCO,"(40.669703, -107.28507)"
2,14,,CO,EXCELSIOR RECHARGE POND 3 INFLOW,1413796A,,DWR,Active,2022,2023,554925.9,4234394.4,Digitized off map,https://dwr.state.co.us/Tools/Stations/1413796A,"(38.255898, -104.372216)"
2,11,CHAFFEE,CO,CHALK CREEK NEAR NATHROP,,07091000,USGS,Historic,1949,1956,399151.6,4287793.1,User supplied,https://dwr.state.co.us/Tools/Stations/3655,"(38.733061, -106.160283)"
3,22,CONEJOS,CO,"CONEJOS RIVER AT PLATORO, CO.",CONAPLCO,08245500,USGS,Historic,1936,1953,364935.4,4135223,User supplied,https://dwr.state.co.us/Tools/Stations/CONAPLCO,"(37.353901, -106.525052)"
4,41,MONTROSE,CO,UNCOMPAHGRE RIVER UPSTREAM OF SOUTH CANAL,UNCUPSCO,,DWR,Active,2010,2023,256013,4249234,User supplied,https://dwr.state.co.us/Tools/Stations/UNCUPSCO,"(38.358057, -107.792366)"
1,4,LARIMER,CO,USBR POWER PLANT AT BIG THOMPSON CANYON MOUTH,BTPPMCCO,,NWBOR,Active,1996,2022,481007.1,4474514,User supplied,https://dwr.state.co.us/Tools/Stations/BTPPMCCO,"(40.421044, -105.223897)"
3,25,SAGUACHE,CO,"NOLAND GULCH TRIB RES INFLOW NR VILLA GROVE, CO.",NOLVILCO,08226600,USGS,Historic,1979,1989,415806.7,4229490.7,User supplied,https://dwr.state.co.us/Tools/Stations/NOLVILCO,"(38.209452, -105.961688)"
1,4,LARIMER,CO,MARIANO EXCHANGE FLUME,MAREXFCO,,NWSDR,Active,2011,2023,490562,4471390,User supplied,https://dwr.state.co.us/Tools/Stations/MAREXFCO,"(40.393062, -105.111218)"
1,6,,CO,LEGGETT-VALMONT RESERVOIR INLET,LVRINLCO,,DWR,Active,2021,2023,482431,4430055,Digitized off map,https://dwr.state.co.us/Tools/Stations/LVRINLCO,"(40.020526, -105.205895)"
1,6,,CO,MIDDLE BOULDER CREEK BELOW BARKER MEADOW RESERVOIR,BOCBBRCO,,DWR,Active,2022,2023,459013.2,4424229.1,GPS,https://dwr.state.co.us/Tools/Stations/BOCBBRCO,"(39.967224, -105.479948)"
1,5,BOULDER,CO,DRY CREEK TURNOUT NEAR NIWOT,DRYCRKCO,,DWR,Historic,1954,1999,482285.2,4436716.7,User supplied,https://dwr.state.co.us/Tools/Stations/DRYCRKCO,"(40.080545, -105.207788)"
1,7,JEFFERSON,CO,"RALSTON CREEK NEAR PLAINVIEW, CO.",RALPLACO,06719725,USGS,Historic,1983,1984,474456.1,4411273.4,User supplied,https://dwr.state.co.us/Tools/Stations/RALPLACO,"(39.851101, -105.298614)"
1,5,BOULDER,CO,"SAINT VRAIN CREEK BELOW KEN PRATT BLVD AT LONGMONT, CO",SVCLOPCO,,DWR,Active,2014,2023,493553.2,4444779.5,User supplied,https://dwr.state.co.us/Tools/Stations/SVCLOPCO,"(40.153352, -105.075707)"
6,47,JACKSON,CO,"COLORADO CREEK NEAR SPICER, CO.",COLSPICO,06611000,USGS,Historic,1950,1955,372619.5,4477891.7,User supplied,https://dwr.state.co.us/Tools/Stations/COLSPICO,"(40.441935, -106.501984)"
4,28,GUNNISON,CO,"QUARTZ CREEK NEAR OHIO CITY, CO.",QUACITCO,09118000,USGS,Historic,1937,1970,357421,4269188.8,User supplied,https://dwr.state.co.us/Tools/Stations/QUACITCO,"(38.559722, -106.636432)"
6,43,RIO BLANCO,CO,"SORGHUM GULCH AT MOUTH, NEAR RIO BLANCO, CO.",SORGMOCO,09306036,USGS,Historic,1974,1985,226191.1,4413229.8,User supplied,https://dwr.state.co.us/Tools/Stations/SORGMOCO,"(39.824981, -108.199263)"
6,47,JACKSON,CO,"SOUTH FORK MICHIGAN RIVER NEAR GOULD, CO.",SOMIGOCO,06615000,USGS,Historic,1950,1958,414486.3,4479547.9,User supplied,https://dwr.state.co.us/Tools/Stations/SOMIGOCO,"(40.462212, -106.008643)"
5,51,GRAND,CO,"VASQUEZ CANAL NEAR WINTER PARK, CO",VASCANCO,,DWR,Historic,1944,1957,434236.6,4415737.7,User supplied,https://dwr.state.co.us/Tools/Stations/VASCANCO,"(39.889164, -105.769186)"
1,6,,CO,FARMERS DITCH,FARDITCO,,DWR,Active,2020,2023,474761.5,4429349.9,GPS,https://dwr.state.co.us/Tools/Stations/FARDITCO,"(40.01398, -105.295737)"
2,10,EL PASO,CO,"LITTLE FOUNTAIN CREEK NEAR FORT CARSON, CO.",LIFORTCO,07105928,USGS,Historic,1978,1998,512807.6,4281307.1,User supplied,https://dwr.state.co.us/Tools/Stations/LIFORTCO,"(38.680276, -104.852758)"
4,60,SAN MIGUEL,CO,"SAN MIGUEL RIVER NEAR TELLURIDE, CO.",SANTELCO,09171200,USGS,Historic,1959,1965,247202,4203955.8,User supplied,https://dwr.state.co.us/Tools/Stations/SANTELCO,"(37.948056, -107.87702)"
6,47,JACKSON,CO,"NORTH PLATTE RIVER NEAR WALDEN, CO.",NOPLWACO,06613000,USGS,Historic,1904,1947,380405,4506292.6,User supplied,https://dwr.state.co.us/Tools/Stations/NOPLWACO,"(40.698875, -106.415597)"
1,5,WELD,CO,LAST CHANCE DITCH,LASDITCO,,SLWCD,Active,2009,2023,501699,4446448,User supplied,https://dwr.state.co.us/Tools/Stations/LASDITCO,"(40.168403, -104.980057)"
5,51,GRAND,CO,COLORADO RIVER BELOW WINDY GAP AT CHIMNEY ROCK,COLCHICO,,NCWCD,Historic,1992,2003,414465.4,4440262.1,User supplied,https://dwr.state.co.us/Tools/Stations/COLCHICO,"(40.108322, -106.003643)"
3,22,CONEJOS,CO,SAN JUAN SAN RAFAEL D,2200624A,,DWR,Active,2022,2023,402493.8,4102332.2,,https://dwr.state.co.us/Tools/Stations/2200624A,"(37.06218, -106.096753)"
2,67,PROWERS,CO,LAMAR WEST FARM AUGMENTATION STATION,LAWAUGCO,,DWR,Active,2012,2023,710021,4219738,User supplied,https://dwr.state.co.us/Tools/Stations/LAWAUGCO,"(38.10107, -102.604775)"
5,45,GARFIELD,CO,"COLORADO RIVER AT NEW CASTLE, CO.",,09087600,USGS,Historic,1966,1972,281425.2,4382877,User supplied,https://dwr.state.co.us/Tools/Stations/546,"(39.567763, -107.544514)"
2,10,EL PASO,CO,"MERRIAMS L. FOUNTAIN DITCH AT FT. CARSON, CO",FOUDITCO,383944104474201,USGS,Active,2002,2017,517740.9,4279344.2,User supplied,https://dwr.state.co.us/Tools/Stations/FOUDITCO,"(38.6625, -104.796094)"
1,2,,CO,GERMAN DITCH,GRMDITCO,,NWSDR,Active,2019,2023,501954,4421935,Digitized off map,https://dwr.state.co.us/Tools/Stations/GRMDITCO,"(39.947547, -104.977136)"
1,3,WELD,CO,CACHE LA POUDRE RIVER AT GREELEY WASTEWATER PLANT,CLAWASCO,,DWR,Active,2002,2023,527384,4474726,User supplied,https://dwr.state.co.us/Tools/Stations/CLAWASCO,"(40.42272, -104.677204)"
7,33,LA PLATA,CO,LONG HOLLOW AT THE MOUTH NEAR RED MESA,LONREDCO,,DWR,Active,1988,2023,217484,4105947,GPS,https://dwr.state.co.us/Tools/Stations/LONREDCO,"(37.057262, -108.177136)"
2,67,BENT,CO,GAGEBY CREEK BELOW FORT LYON CANAL,GACBFLCO,,DWR,Active,2006,2023,666881,4222354,User supplied,https://dwr.state.co.us/Tools/Stations/GACBFLCO,"(38.133633, -103.095881)"
1,2,ADAMS,CO,"FIRST CR BEL BUCKLEY RD, AT ROCKY MTN ARSENAL, CO",FIRBUCCO,06720460,USGS,Active,1991,2023,517645,4406472.4,User supplied,https://dwr.state.co.us/Tools/Stations/FIRBUCCO,"(39.808045, -104.793873)"
4,41,MONTROSE,CO,"SPRING CREEK NEAR BEAVER HILL, CO.",,09149400,USGS,Historic,1977,1981,240978.9,4268127.7,User supplied,https://dwr.state.co.us/Tools/Stations/828,"(38.523883, -107.971187)"
1,7,,CO,COORS B2/B6 LAKES FROM WANNAMAKER DITCH,COOB2LCO,,DWR,Active,2018,2023,483949,4402461,GPS,https://dwr.state.co.us/Tools/Stations/COOB2LCO,"(39.771937, -105.187428)"
1,1,,CO,OGILVY DITCH LONE TREE CREEK FEEDER,OGLFDRCO,,DWR,Active,2020,2023,534887,4476209,Digitized off map,https://dwr.state.co.us/Tools/Stations/OGLFDRCO,"(40.435799, -104.588678)"
1,4,WELD,CO,BEELINE DITCH,BEEDITCO,,NWSDR,Active,2011,2023,510558,4464375,User supplied,https://dwr.state.co.us/Tools/Stations/BEEDITCO,"(40.329849, -104.875722)"
,,,UT,"WHITE RIVER NEAR WATSON, UTAH",,09306500,USGS,Historic,1923,2022,143139.4,4433779.7,User supplied,https://dwr.state.co.us/Tools/Stations/1901,"(39.978856, -109.178727)"
1,7,JEFFERSON,CO,FISHER DITCH RETURN,FISRTNCO,,DWR,Active,2015,2023,497459,4405450,GPS,https://dwr.state.co.us/Tools/Stations/FISRTNCO,"(39.799015, -105.029691)"
2,19,LAS ANIMAS,CO,MODEL CANAL,MODCANCO,,DWR,Active,2007,2023,547639,4119135.8,User supplied,https://dwr.state.co.us/Tools/Stations/MODCANCO,"(37.217508, -104.463065)"
5,51,GRAND,CO,"GRAND LAKE OUTLET AT GRAND LAKE, CO.",GRAOUTCO,09014000,USGS,Historic,1904,1913,429710.7,4455245.3,User supplied,https://dwr.state.co.us/Tools/Stations/GRAOUTCO,"(40.24471, -105.826408)"
2,10,EL PASO,CO,"ROCK CREEK ABOVE FORT CARSON RESERVATION, CO.",ROCAFOCO,07105945,USGS,Active,1978,2018,513334.2,4284328.7,User supplied,https://dwr.state.co.us/Tools/Stations/ROCAFOCO,"(38.707502, -104.846652)"
1,7,CLEAR CREEK,CO,"CLEAR CREEK BELOW 23RD AVENUE AT IDAHO SPRINGS, CO",CLEBIDCO,06718000,USGS,Historic,1951,1955,456517.4,4399284.3,User supplied,https://dwr.state.co.us/Tools/Stations/CLEBIDCO,"(39.742353, -105.507516)"
,99,,AZ,"COLORADO R AT LEES FERRY, AZ.",,09380000,USGS,Historic,1921,2023,-87567,4100139,User supplied,https://dwr.state.co.us/Tools/Stations/1913,"(36.864333, -111.587872)"
5,51,GRAND,CO,"TONAHUTU CREEK BLW HARBISON DITCH NR GRAND LAKE,CO",TONHARCO,09012420,USGS,Historic,1969,1969,430204.3,4457522.6,User supplied,https://dwr.state.co.us/Tools/Stations/TONHARCO,"(40.265273, -105.82086)"
3,20,HINSDALE,CO,"SAN FRANCISCO CREEK NEAR DEL NORTE, CO",SAFDELCO,,DWR,Historic,1970,1976,304241.3,4163809,User supplied,https://dwr.state.co.us/Tools/Stations/SAFDELCO,"(37.600558, -107.217562)"
1,80,,CO,"DEER CREEK BELOW CR43 NEAR BAILEY, CO",DEERCKCO,,DWR,Active,2020,2022,459313,4368587,GPS,https://dwr.state.co.us/Tools/Stations/DEERCKCO,"(39.465908, -105.472998)"
1,2,ADAMS,CO,"SOUTH PLATTE R AT 64TH AVE. COMMERCE CITY, CO.",PLASIXCO,06714215,USGS,Active,1982,2023,503568.1,4406915.3,User supplied,https://dwr.state.co.us/Tools/Stations/PLASIXCO,"(39.812212, -104.958325)"
1,76,LARIMER,CO,SAND CREEK AT COLORADO-WYOMING STATE LINE,,06659580,USGS,Historic,1968,2020,436101.4,4538330,GPS,https://dwr.state.co.us/Tools/Stations/1267,"(40.993656, -105.759718)"
6,58,ROUTT,CO,BEAR RIVER BELOW BEAR LAKE,BERBBLCO,,DWR,Active,2012,2022,323264,4434716,Digitized off map,https://dwr.state.co.us/Tools/Stations/BERBBLCO,"(40.044177, -107.071753)"
5,38,PITKIN,CO,"FRYINGPAN RIVER AT MEREDITH, CO.",FRYMERCO,09080100,DWR,Active,1910,2023,350740.6,4358434.5,User supplied,https://dwr.state.co.us/Tools/Stations/FRYMERCO,"(39.362485, -106.732542)"
2,79,,CO,SPANISH PEAKS JV RETURN FLOW,SPJVRFCO,,DWR,Active,2018,2023,502864,4177096,GPS,https://dwr.state.co.us/Tools/Stations/SPJVRFCO,"(37.741154, -104.967503)"
1,3,LARIMER,CO,LITTLE CACHE LA POUDRE DITCH,LTCDITCO,,NWSDR,Active,2015,2023,487658,4497693,User supplied,https://dwr.state.co.us/Tools/Stations/LTCDITCO,"(40.629988, -105.145948)"
,,,WY,"LITTLE SNAKE RIVER NEAR DIXON, WY",,09257000,USGS,Historic,1910,2022,285719,4545054,GPS,https://dwr.state.co.us/Tools/Stations/2744,"(41.028528, -107.548861)"
3,20,,NM,"RIO GRANDE AT EMBUDO, NM.",RIOEMBNM,08279500,USGS,Active,1889,2023,413344.2,4007178.6,User supplied,https://dwr.state.co.us/Tools/Stations/RIOEMBNM,"(36.205556, -105.963972)"
4,40,DELTA,CO,"HUBBARD CREEK NEAR BOWIE, CO.",,09132920,USGS,Historic,1968,1974,277867.3,4324873.2,User supplied,https://dwr.state.co.us/Tools/Stations/573,"(39.044712, -107.566738)"
1,2,WELD,CO,HODGSON DITCH,HODDITCO,,NWSDR,Active,2015,2023,512779,4450885,User supplied,https://dwr.state.co.us/Tools/Stations/HODDITCO,"(40.208282, -104.849845)"
1,1,EL PASO,CO,"KIOWA CREEK AT K-79 RES, NEAR EASTONVILLE, CO.",KIOCRECO,06757600,USGS,Historic,1955,1965,536120.6,4324256.6,User supplied,https://dwr.state.co.us/Tools/Stations/KIOCRECO,"(39.066667, -104.582477)"
4,40,DELTA,CO,"COW CREEK NEAR CEDAREDGE, CO.",COWCEDCO,09134700,USGS,Historic,1960,1969,257915.5,4312283.5,User supplied,https://dwr.state.co.us/Tools/Stations/COWCEDCO,"(38.926104, -107.792566)"
1,23,PARK,CO,DIXON FLUME ON HOLLTHUSEN GULCH,DIXCOMCO,,AURO,Active,1991,2022,422254,4354957,User supplied,https://dwr.state.co.us/Tools/Stations/DIXCOMCO,"(39.340557, -105.902189)"
7,71,DOLORES,CO,GROUNDHOG CREEK BELOW GROUNDHOG RESERVOIR,GROBGRCO,,DWR,Active,2011,2023,210381.9,4187532,GPS,https://dwr.state.co.us/Tools/Stations/GROBGRCO,"(37.789284, -108.288878)"
5,53,GRAND,CO,"COLORADO RIVER NEAR KREMMLING, CO",COLKRECO,09058000,USGS,Active,1904,2023,377142.7,4432818.5,User supplied,https://dwr.state.co.us/Tools/Stations/COLKRECO,"(40.036654, -106.44004)"
1,7,CLEAR CREEK,CO,"WEST FORK CLEAR CREEK NEAR EMPIRE, CO.",WECLENCO,06716000,USGS,Historic,1929,1931,443440.4,4401173,User supplied,https://dwr.state.co.us/Tools/Stations/WECLENCO,"(39.758605, -105.660296)"
